"","Date","Sessions","Pageviews","Users","New_Users","Number_Session","Pages_Session","Avg_S_Duration","Bounce"
"764",2014-04-14,46,152,35,23,1.31428571428571,3.30434782608696,207.086956521739,0.456521739130435
"765",2014-04-15,34,86,25,10,1.36,2.52941176470588,150.676470588235,0.617647058823529
"766",2014-04-16,42,90,32,20,1.3125,2.14285714285714,211.619047619048,0.595238095238095
"767",2014-04-17,28,72,19,13,1.47368421052632,2.57142857142857,131.571428571429,0.535714285714286
"768",2014-04-18,12,59,8,4,1.5,4.91666666666667,193.833333333333,0.5
"769",2014-04-19,10,13,9,7,1.11111111111111,1.3,2.3,0.9
"770",2014-04-20,14,36,14,14,1,2.57142857142857,47.6428571428571,0.5
"771",2014-04-21,33,76,24,12,1.375,2.3030303030303,100.030303030303,0.575757575757576
"772",2014-04-22,38,84,28,20,1.35714285714286,2.21052631578947,96.3421052631579,0.526315789473684
"773",2014-04-23,41,103,29,18,1.41379310344828,2.51219512195122,268.609756097561,0.48780487804878
"774",2014-04-24,36,72,26,15,1.38461538461538,2,99.1111111111111,0.666666666666667
"775",2014-04-25,32,72,19,14,1.68421052631579,2.25,143.71875,0.5625
"776",2014-04-26,10,39,9,4,1.11111111111111,3.9,205.7,0.5
"777",2014-04-27,20,51,16,12,1.25,2.55,88.2,0.45
"778",2014-04-28,37,105,26,13,1.42307692307692,2.83783783783784,106.297297297297,0.378378378378378
"779",2014-04-29,40,151,28,18,1.42857142857143,3.775,159.6,0.5
"780",2014-04-30,33,91,21,14,1.57142857142857,2.75757575757576,307.181818181818,0.484848484848485
"781",2014-05-01,35,104,26,17,1.34615384615385,2.97142857142857,115.828571428571,0.457142857142857
"782",2014-05-02,34,129,26,16,1.30769230769231,3.79411764705882,235.176470588235,0.470588235294118
"783",2014-05-03,14,41,10,7,1.4,2.92857142857143,225,0.642857142857143
"784",2014-05-04,19,41,13,11,1.46153846153846,2.15789473684211,64.3684210526316,0.473684210526316
"785",2014-05-05,34,98,24,13,1.41666666666667,2.88235294117647,171.970588235294,0.323529411764706
"786",2014-05-06,42,139,30,21,1.4,3.30952380952381,220.119047619048,0.380952380952381
"787",2014-05-07,39,94,29,21,1.3448275862069,2.41025641025641,138.230769230769,0.538461538461538
"788",2014-05-08,39,97,28,17,1.39285714285714,2.48717948717949,82.8461538461538,0.58974358974359
"789",2014-05-09,28,80,23,14,1.21739130434783,2.85714285714286,179.214285714286,0.357142857142857
"790",2014-05-10,7,10,7,6,1,1.42857142857143,11.2857142857143,0.571428571428571
"791",2014-05-11,4,8,4,2,1,2,77.75,0.5
"792",2014-05-12,42,147,30,18,1.4,3.5,143.428571428571,0.5
"793",2014-05-13,32,112,21,10,1.52380952380952,3.5,303.21875,0.4375
"794",2014-05-14,36,94,28,16,1.28571428571429,2.61111111111111,138.138888888889,0.611111111111111
"795",2014-05-15,25,58,19,13,1.31578947368421,2.32,301.16,0.44
"796",2014-05-16,27,58,16,12,1.6875,2.14814814814815,129.814814814815,0.666666666666667
"797",2014-05-17,11,44,11,10,1,4,330.636363636364,0.363636363636364
"798",2014-05-18,5,23,5,5,1,4.6,65.2,0
"799",2014-05-19,23,60,18,13,1.27777777777778,2.60869565217391,62.4347826086956,0.608695652173913
"800",2014-05-20,49,167,36,21,1.36111111111111,3.40816326530612,314.285714285714,0.36734693877551
"801",2014-05-21,35,197,23,15,1.52173913043478,5.62857142857143,509.142857142857,0.257142857142857
"802",2014-05-22,36,115,26,17,1.38461538461538,3.19444444444444,209.805555555556,0.555555555555556
"803",2014-05-23,31,127,22,13,1.40909090909091,4.09677419354839,432.838709677419,0.387096774193548
"804",2014-05-24,12,29,9,6,1.33333333333333,2.41666666666667,57.75,0.583333333333333
"805",2014-05-25,17,45,13,10,1.30769230769231,2.64705882352941,66,0.647058823529412
"806",2014-05-26,38,138,32,22,1.1875,3.63157894736842,413.184210526316,0.421052631578947
"807",2014-05-27,44,146,29,19,1.51724137931034,3.31818181818182,172.090909090909,0.477272727272727
"808",2014-05-28,28,61,23,16,1.21739130434783,2.17857142857143,259.035714285714,0.571428571428571
"809",2014-05-29,34,102,23,12,1.47826086956522,3,523.558823529412,0.441176470588235
"810",2014-05-30,37,122,25,19,1.48,3.2972972972973,309.810810810811,0.594594594594595
"811",2014-05-31,13,36,10,5,1.3,2.76923076923077,47.0769230769231,0.538461538461538
"812",2014-06-01,11,34,11,8,1,3.09090909090909,165,0.363636363636364
"813",2014-06-02,35,89,25,15,1.4,2.54285714285714,99.7142857142857,0.457142857142857
"814",2014-06-03,30,43,16,10,1.875,1.43333333333333,111.966666666667,0.8
"815",2014-06-04,38,141,31,23,1.2258064516129,3.71052631578947,271.894736842105,0.315789473684211
"816",2014-06-05,38,84,26,16,1.46153846153846,2.21052631578947,420.026315789474,0.5
"817",2014-06-06,37,81,27,17,1.37037037037037,2.18918918918919,250.162162162162,0.567567567567568
"818",2014-06-07,11,39,11,8,1,3.54545454545455,137.636363636364,0.363636363636364
"819",2014-06-08,18,57,13,9,1.38461538461538,3.16666666666667,82.3333333333333,0.555555555555556
"820",2014-06-09,42,136,35,23,1.2,3.23809523809524,269.880952380952,0.476190476190476
"821",2014-06-10,35,90,24,14,1.45833333333333,2.57142857142857,183.542857142857,0.6
"822",2014-06-11,51,131,34,27,1.5,2.56862745098039,178.352941176471,0.509803921568627
"823",2014-06-12,38,90,23,13,1.65217391304348,2.36842105263158,146.631578947368,0.552631578947368
"824",2014-06-13,25,67,19,14,1.31578947368421,2.68,38.64,0.6
"825",2014-06-14,6,12,6,4,1,2,356.833333333333,0.5
"826",2014-06-15,15,35,11,8,1.36363636363636,2.33333333333333,97.8666666666667,0.333333333333333
"827",2014-06-16,50,171,38,25,1.31578947368421,3.42,145.4,0.32
"828",2014-06-17,29,110,23,16,1.26086956521739,3.79310344827586,210.896551724138,0.517241379310345
"829",2014-06-18,32,127,27,15,1.18518518518519,3.96875,253.6875,0.28125
"830",2014-06-19,40,106,34,21,1.17647058823529,2.65,121.9,0.5
"831",2014-06-20,30,70,23,16,1.30434782608696,2.33333333333333,145.8,0.566666666666667
"832",2014-06-21,15,49,12,8,1.25,3.26666666666667,275.6,0.4
"833",2014-06-22,10,142,8,7,1.25,14.2,171.3,0.5
"834",2014-06-23,36,107,29,21,1.24137931034483,2.97222222222222,224.25,0.472222222222222
"835",2014-06-24,43,100,28,21,1.53571428571429,2.32558139534884,114.395348837209,0.674418604651163
"836",2014-06-25,32,74,24,15,1.33333333333333,2.3125,163.40625,0.4375
"837",2014-06-26,40,104,28,16,1.42857142857143,2.6,142.075,0.45
"838",2014-06-27,23,59,19,14,1.21052631578947,2.56521739130435,158.782608695652,0.521739130434783
"839",2014-06-28,9,29,8,7,1.125,3.22222222222222,74.8888888888889,0.333333333333333
"840",2014-06-29,10,53,10,8,1,5.3,167.3,0.3
"841",2014-06-30,33,84,26,18,1.26923076923077,2.54545454545455,175.333333333333,0.424242424242424
"842",2014-07-01,16,80,14,10,1.14285714285714,5,95.25,0.3125
"843",2014-07-02,48,129,32,17,1.5,2.6875,72.6458333333333,0.520833333333333
"844",2014-07-03,37,112,22,13,1.68181818181818,3.02702702702703,215.675675675676,0.540540540540541
"845",2014-07-04,39,101,25,14,1.56,2.58974358974359,241.589743589744,0.435897435897436
"846",2014-07-05,14,33,12,9,1.16666666666667,2.35714285714286,66.2857142857143,0.5
"847",2014-07-06,12,27,10,7,1.2,2.25,183.833333333333,0.583333333333333
"848",2014-07-07,36,106,28,19,1.28571428571429,2.94444444444444,118.472222222222,0.388888888888889
"849",2014-07-08,35,102,28,20,1.25,2.91428571428571,110.142857142857,0.485714285714286
"850",2014-07-09,45,117,34,26,1.32352941176471,2.6,176.466666666667,0.488888888888889
"851",2014-07-10,24,58,21,14,1.14285714285714,2.41666666666667,200.375,0.5
"852",2014-07-11,30,80,20,12,1.5,2.66666666666667,149.566666666667,0.466666666666667
"853",2014-07-12,6,14,6,5,1,2.33333333333333,127.166666666667,0.333333333333333
"854",2014-07-13,17,37,14,11,1.21428571428571,2.17647058823529,62.1176470588235,0.588235294117647
"855",2014-07-14,25,64,21,15,1.19047619047619,2.56,141.2,0.36
"856",2014-07-15,40,136,32,24,1.25,3.4,290.725,0.35
