"","ds","trend","additive_terms","additive_terms_lower","additive_terms_upper","weekly","weekly_lower","weekly_upper","yearly","yearly_lower","yearly_upper","multiplicative_terms","multiplicative_terms_lower","multiplicative_terms_upper","yhat_lower","yhat_upper","trend_lower","trend_upper","yhat"
"1210",2015-07-04,3.27007088391561,-0.833831786851079,-0.833831786851079,-0.833831786851079,-0.697601642239144,-0.697601642239144,-0.697601642239144,-0.136230144611934,-0.136230144611934,-0.136230144611934,0,0,0,2.06259045724099,2.83514318892982,3.27007088391561,3.27007088391561,2.43623909706453
"1211",2015-07-05,3.27008290695226,-0.699584227120591,-0.699584227120591,-0.699584227120591,-0.57230160387263,-0.57230160387263,-0.57230160387263,-0.127282623247962,-0.127282623247962,-0.127282623247962,0,0,0,2.16898324525746,2.99911984116436,3.27008290695226,3.27008290695226,2.57049867983167
"1212",2015-07-06,3.27009492998891,0.180163587195783,0.180163587195783,0.180163587195783,0.298205676143404,0.298205676143404,0.298205676143404,-0.118042088947621,-0.118042088947621,-0.118042088947621,0,0,0,3.0431588589189,3.85347032783936,3.27009492998891,3.27009492998891,3.45025851718469
"1213",2015-07-07,3.27010695302556,0.203146138891782,0.203146138891782,0.203146138891782,0.311844821127027,0.311844821127027,0.311844821127027,-0.108698682235245,-0.108698682235245,-0.108698682235245,0,0,0,3.07576796106225,3.87912262118659,3.27010695302556,3.27010695302556,3.47325309191734
"1214",2015-07-08,3.2701189760622,0.184124894136215,0.184124894136215,0.184124894136215,0.283559671100054,0.283559671100054,0.283559671100054,-0.0994347769638393,-0.0994347769638393,-0.0994347769638393,0,0,0,3.04765298913721,3.85637774530368,3.2701189760622,3.2701189760622,3.45424387019842
"1215",2015-07-09,3.27013099909885,0.148617712116387,0.148617712116387,0.148617712116387,0.239038137586854,0.239038137586854,0.239038137586854,-0.0904204254704667,-0.0904204254704667,-0.0904204254704667,0,0,0,3.01238145712346,3.82504496888443,3.27013099909885,3.27013099909885,3.41874871121524
"1216",2015-07-10,3.2701430221355,0.0554456736639209,0.0554456736639209,0.0554456736639209,0.137254940154576,0.137254940154576,0.137254940154576,-0.0818092664906549,-0.0818092664906549,-0.0818092664906549,0,0,0,2.95726699640707,3.72793230295249,3.2701430221355,3.2701430221355,3.32558869579942
"1217",2015-07-11,3.27015504517215,-0.771336651764109,-0.771336651764109,-0.771336651764109,-0.697601642239361,-0.697601642239361,-0.697601642239361,-0.0737350095247488,-0.0737350095247488,-0.0737350095247488,0,0,0,2.09089312421467,2.90003291162078,3.27015504517215,3.27015504517215,2.49881839340804
"1218",2015-07-12,3.27016706820879,-0.638610194813377,-0.638610194813377,-0.638610194813377,-0.572301603872282,-0.572301603872282,-0.572301603872282,-0.0663085909410946,-0.0663085909410946,-0.0663085909410946,0,0,0,2.25729780416684,3.03553628992261,3.27016706820879,3.27016706820879,2.63155687339542
"1219",2015-07-13,3.27017909124544,0.238589600246654,0.238589600246654,0.238589600246654,0.298205676144584,0.298205676144584,0.298205676144584,-0.0596160758979301,-0.0596160758979301,-0.0596160758979301,0,0,0,3.09614357543158,3.92228184634961,3.27017909124544,3.27017909124544,3.5087686914921
