"","month","yhat_lower","yhat_upper","yhat","Web_Metric","Results","Number","All_Mape","MAPE_Number"
"112",4,92.3235855852039,115.589227280253,103.919992908664,"Sessions","Predicted",1040.24077279806,"MAPE_Upper",1336.16994660239
"113",5,97.9539695226687,122.079392935996,109.98435138437,"Sessions","Predicted",1154.61809688569,"MAPE_Upper",1277.7461496015
"114",6,93.0245913405481,116.349089075334,104.787804606346,"Sessions","Predicted",1057.41065138365,"MAPE_Upper",1238.8137237253
"115",7,94.7983881164701,118.757898917207,106.792731073308,"Sessions","Predicted",1053.54793204394,"MAPE_Upper",1403.76136836933
"116",8,96.621967435903,121.009570875358,108.692341548441,"Sessions","Predicted",1107.05651658861,"MAPE_Upper",1287.73818156816
"117",9,97.4256018998969,120.822534613026,109.143392935317,"Sessions","Predicted",1238.32209618095,"MAPE_Upper",1303.45915520582
"118",10,100.447449032117,124.629615534396,112.539630480442,"Sessions","Predicted",1260.39927195873,"MAPE_Upper",1302.07142880867
"119",11,96.6770597225695,120.084103426534,108.391404690814,"Sessions","Predicted",1194.01157793007,"MAPE_Upper",1261.48361798085
"120",12,89.5263606071763,113.596602598418,101.52730842728,"Sessions","Predicted",892.192816226544,"MAPE_Upper",1455.95679272395
"121",1,97.4610771898614,121.554758390662,109.481877574509,"Sessions","Predicted_Lower",781.735089077389,"MAPE_Upper",1337.92606205946
"122",2,88.0667645933702,110.028243227124,99.1350132584911,"Sessions","Predicted_Lower",699.745976080155,"MAPE_Upper",1156.18126534745
"123",3,97.8004889149823,121.962989223717,109.836610544696,"Sessions","Predicted_Lower",778.307570422212,"MAPE_Upper",1252.18534228824
"124",4,92.3235855852039,115.589227280253,103.919992908664,"Sessions","Predicted_Lower",706.697852874353,"MAPE_Upper",1336.16994660239
"125",5,97.9539695226687,122.079392935996,109.98435138437,"Sessions","Predicted_Lower",783.689716026174,"MAPE_Upper",1277.7461496015
"126",6,93.0245913405481,116.349089075334,104.787804606346,"Sessions","Predicted_Lower",715.217528657241,"MAPE_Upper",1238.8137237253
"127",7,94.7983881164701,118.757898917207,106.792731073308,"Sessions","Predicted_Lower",716.158355255756,"MAPE_Upper",1403.76136836933
"128",8,96.621967435903,121.009570875358,108.692341548441,"Sessions","Predicted_Lower",750.990531287907,"MAPE_Upper",1287.73818156816
"129",9,97.4256018998969,120.822534613026,109.143392935317,"Sessions","Predicted_Lower",838.352330543399,"MAPE_Upper",1303.45915520582
"130",10,100.447449032117,124.629615534396,112.539630480442,"Sessions","Predicted_Lower",853.102489970697,"MAPE_Upper",1302.07142880867
"131",11,96.6770597225695,120.084103426534,108.391404690814,"Sessions","Predicted_Lower",808.568503250537,"MAPE_Upper",1261.48361798085
"132",12,89.5263606071763,113.596602598418,101.52730842728,"Sessions","Predicted_Lower",605.56945968084,"MAPE_Upper",1455.95679272395
"133",1,97.4610771898614,121.554758390662,109.481877574509,"Sessions","Predicted_Upper",1701.29481897709,"MAPE_Upper",1337.92606205946
"134",2,88.0667645933702,110.028243227124,99.1350132584911,"Sessions","Predicted_Upper",1537.07690658398,"MAPE_Upper",1156.18126534745
"135",3,97.8004889149823,121.962989223717,109.836610544696,"Sessions","Predicted_Upper",1698.55132085082,"MAPE_Upper",1252.18534228824
"136",4,92.3235855852039,115.589227280253,103.919992908664,"Sessions","Predicted_Upper",1535.29042351998,"MAPE_Upper",1336.16994660239
"137",5,97.9539695226687,122.079392935996,109.98435138437,"Sessions","Predicted_Upper",1706.64946696697,"MAPE_Upper",1277.7461496015
"138",6,93.0245913405481,116.349089075334,104.787804606346,"Sessions","Predicted_Upper",1555.76777078362,"MAPE_Upper",1238.8137237253
"139",7,94.7983881164701,118.757898917207,106.792731073308,"Sessions","Predicted_Upper",1551.10413209964,"MAPE_Upper",1403.76136836933
"140",8,96.621967435903,121.009570875358,108.692341548441,"Sessions","Predicted_Upper",1646.68397379268,"MAPE_Upper",1287.73818156816
"141",9,97.4256018998969,120.822534613026,109.143392935317,"Sessions","Predicted_Upper",1828.68411763153,"MAPE_Upper",1303.45915520582
"142",10,100.447449032117,124.629615534396,112.539630480442,"Sessions","Predicted_Upper",1864.48032922112,"MAPE_Upper",1302.07142880867
"143",11,96.6770597225695,120.084103426534,108.391404690814,"Sessions","Predicted_Upper",1763.7721189286,"MAPE_Upper",1261.48361798085
"144",12,89.5263606071763,113.596602598418,101.52730842728,"Sessions","Predicted_Upper",1314.22922340548,"MAPE_Upper",1455.95679272395
